iter	RMSE
0	0.6853107341
1	0.6756425939
2	0.6657088145
3	0.656343314
4	0.6472171943
5	0.6379265613
6	0.6289011328
7	0.6204382679
8	0.6118649653
9	0.603713242
10	0.5958052277
11	0.5880168033
12	0.5804288311
13	0.5730374165
14	0.5655295475
15	0.5585521291
16	0.551809529
17	0.5448300137
18	0.5383225396
19	0.5319852877
20	0.5255112518
21	0.5195236242
22	0.5133822884
23	0.5074066529
24	0.5018549272
25	0.4964498274
26	0.4909731707
27	0.4855986922
28	0.4803858335
29	0.475532656
30	0.47059443
31	0.4659930799
32	0.4614874862
33	0.457112988
34	0.4526451077
35	0.4483067813
36	0.4441589365
37	0.4402366705
38	0.436247363
39	0.4325453376
40	0.4289733715
41	0.4253023883
42	0.4217422281
43	0.4184650202
44	0.4151025926
45	0.4120137701
46	0.4090028407
47	0.4059197125
48	0.4029327212
49	0.4001764859
50	0.3974898267
51	0.3948890754
52	0.3922237202
53	0.3896435142
54	0.3872750656
55	0.3849735165
56	0.3825917899
57	0.3804416029
58	0.3782143843
59	0.3760602463
60	0.3739506093
61	0.3719875535
62	0.3699196951
63	0.3679202743
64	0.3659873228
65	0.3643198084
66	0.3626357113
67	0.3609513722
68	0.3593447035
69	0.3577263968
70	0.3562464013
71	0.3547767947
72	0.3533502631
73	0.3520480336
74	0.3507931546
75	0.3494110026
76	0.3480767449
77	0.3468682273
78	0.3456204059
79	0.3444491176
80	0.3433190307
81	0.3423087595
82	0.3412128815
83	0.3402216055
84	0.3391977359
85	0.3381735539
86	0.3372611799
87	0.3363879282
88	0.3355115065
89	0.3346922588
90	0.333869781
91	0.3331271526
92	0.332383093
93	0.331665775
94	0.3309680346
95	0.3302660979
96	0.3295527197
97	0.328910069
98	0.3282852955
99	0.3276383229
100	0.3270422921
101	0.326441307
102	0.3258876517
103	0.3253464697
104	0.3248275861
105	0.3243439472
106	0.3237861017
107	0.3233674291
108	0.3229035987
109	0.3225166216
110	0.3221172645
111	0.3216679767
112	0.3212666868
113	0.3208058224
114	0.3203989194
115	0.3200311918
116	0.319672797
117	0.3193103011
118	0.3189837872
119	0.3186332126
120	0.3182601349
121	0.3179330959
122	0.317624095
123	0.3173333196
124	0.3170421183
125	0.3167724069
126	0.3164972673
127	0.3162207176
128	0.3159738898
129	0.3157228082
130	0.3154697716
131	0.3152424967
132	0.3150154086
133	0.3147890207
134	0.3145722619
135	0.3143261197
136	0.3141094005
137	0.3139096233
138	0.3136842526
139	0.3134894974
140	0.3133208588
141	0.3131387511
142	0.3129380767
143	0.3127748197
144	0.3126274563
145	0.3124444117
146	0.3122809754
147	0.3121096566
148	0.3119471404
149	0.3118242337
150	0.3117158274
151	0.3115927603
152	0.3114594429
153	0.3113449731
154	0.311220478
155	0.3110807001
156	0.3109619206
157	0.3108390233
158	0.3107175642
159	0.3106078925
160	0.3105418986
161	0.3104255189
162	0.3102904465
163	0.3101870719
164	0.3100906709
165	0.3100017942
166	0.3099338486
167	0.3098606281
168	0.3098056073
169	0.3096937043
170	0.3095832542
171	0.3095319692
172	0.3094505234
173	0.309375028
174	0.309276246
175	0.3091803294
176	0.3090880688
177	0.308999326
178	0.308925052
179	0.3088806729
180	0.3088136656
181	0.3087339139
182	0.3086575196
183	0.3086029377
184	0.3085723967
185	0.3085009321
186	0.3084333319
187	0.3084017127
188	0.3083696876
189	0.3083170111
190	0.3082626323
191	0.3082266579
192	0.3081679025
193	0.3081225939
194	0.3080676061
195	0.3080259509
196	0.3079732762
197	0.3079226162
198	0.3078971998
199	0.3078731821
200	0.3078367908
201	0.3078002815
202	0.30777275
203	0.307742939
204	0.3077146283
205	0.307696011
206	0.3076773492
207	0.3076618021
208	0.3076214712
209	0.3075910259
210	0.3075612954
211	0.3075446934
212	0.3075133047
213	0.3074904703
214	0.3074634464
215	0.307437681
216	0.3074216201
217	0.3073979439
218	0.307380092
219	0.3073645265
220	0.3073500406
221	0.3073347919
222	0.3073193437
223	0.3073064175
224	0.3072959713
225	0.3072704121
226	0.3072578912
227	0.3072497433
228	0.3072387118
229	0.3072191361
230	0.3072100073
231	0.3071979869
232	0.307176261
233	0.3071634034
234	0.3071552628
235	0.3071476206
236	0.3071252605
237	0.3071126237
238	0.3071005781
239	0.3070849304
240	0.3070719096
241	0.3070664943
242	0.3070517411
243	0.3070320338
244	0.3070245348
245	0.3070155358
246	0.3070083601
247	0.3070016112
248	0.3069969473
249	0.3069894262
250	0.3069684615
251	0.3069600455
252	0.3069536284
253	0.3069357802
254	0.3069225396
255	0.3069095828
256	0.3069037802
257	0.3068974725
258	0.3068876075
259	0.3068817894
260	0.3068736741
261	0.3068603815
262	0.3068536039
263	0.3068405663
264	0.3068290834
265	0.3068202907
266	0.3068143168
267	0.306809544
268	0.3067990625
269	0.3067878919
270	0.3067795802
271	0.3067709746
272	0.3067625896
273	0.3067567226
274	0.3067515381
275	0.3067470924
276	0.3067419319
277	0.3067343182
278	0.3067276596
279	0.3067210268
280	0.306713847
281	0.3067094388
282	0.3067051693
283	0.3067009979
284	0.3066962107
285	0.3066923694
286	0.3066877559
287	0.306679171
288	0.3066755424
289	0.306672538
290	0.3066659432
291	0.3066600489
292	0.3066548044
293	0.3066501117
294	0.3066448779
295	0.3066383267
296	0.3066270875
297	0.3066193414
298	0.3066136545
299	0.3066085323
300	0.3066054802
301	0.3066009783
302	0.3065968666
303	0.3065934989
304	0.3065883765
305	0.3065841964
306	0.3065800927
307	0.3065754759
308	0.3065705002
309	0.3065673409
310	0.3065630399
311	0.3065590967
312	0.3065558124
313	0.3065497203
314	0.3065453193
315	0.3065409645
316	0.3065372333
317	0.3065314187
318	0.3065281259
319	0.306523894
320	0.3065186255
321	0.3065152659
322	0.3065118676
323	0.3065074518
324	0.3065017001
325	0.3064965066
326	0.3064919416
327	0.3064871464
328	0.3064822468
329	0.3064774007
330	0.306473817
331	0.3064691581
332	0.3064666672
333	0.3064598179
334	0.3064559816
335	0.3064512413
336	0.306447879
337	0.306443536
338	0.3064397228
339	0.3064329304
340	0.3064245084
341	0.3064216629
342	0.3064167239
343	0.3064126849
344	0.3064078575
345	0.3064048036
346	0.3064016941
347	0.3063934746
348	0.3063906011
349	0.3063878512
350	0.3063817259
351	0.306376904
352	0.3063702426
353	0.3063656163
354	0.3063583928
355	0.3063550296
356	0.3063426462
357	0.3063384532
358	0.3063344714
359	0.3063311195
360	0.3063285487
361	0.3063243782
362	0.3063206836
363	0.3063167118
364	0.306314047
365	0.3063108216
366	0.3063024409
367	0.3062954824
368	0.3062920887
369	0.3062877243
370	0.3062851048
371	0.3062802831
372	0.3062776097
373	0.3062737998
374	0.306269479
375	0.3062656869
376	0.3062606836
377	0.3062572018
378	0.3062492256
379	0.3062456998
380	0.3062414936
381	0.3062349181
382	0.3062308515
383	0.3062280177
384	0.3062243819
385	0.3062202668
386	0.3062169259
387	0.3062134071
388	0.3062098939
389	0.3062035273
390	0.306200397
391	0.3061959892
392	0.3061934607
393	0.3061899608
394	0.3061854678
395	0.306182435
396	0.3061786964
397	0.3061750065
398	0.3061713971
399	0.3061684304
400	0.3061640473
401	0.3061606478
402	0.3061542844
403	0.3061497614
404	0.3061462704
405	0.3061425316
406	0.3061388253
407	0.3061350371
408	0.3061326281
409	0.3061227804
410	0.3061201485
411	0.3061158012
412	0.3061128884
413	0.3061103222
414	0.3061080804
415	0.3061057087
416	0.3061009532
417	0.3060984057
418	0.3060943257
419	0.306090759
420	0.3060874309
421	0.3060813492
422	0.3060774986
423	0.3060747464
424	0.3060721282
425	0.3060690744
426	0.3060655757
427	0.3060614893
428	0.3060586498
429	0.3060544464
430	0.3060510096
431	0.3060479328
432	0.306433	0.30433	0.306434	0.3434	0.3060435	0.3435	0.3060436	0.3436	0.3060437	0.3437	0.3060438	0.3438	0.3060439	0.3439	0.3060440	0.3440	0.3060441	0.441	0.30600442	0.3064894921
443	0.3064859301
444	0.3064825675
445	0.306479694
