pais,ppp_consumo,tipo_cambio,nivel_precios,anio_ppp,anio_tc
Argentina,42.98624,296.258042,0.1451,2021,2023
Armenia,161.807814,392.476302,0.4123,2023,2023
Australia,1.395812,1.505191,0.9273,2023,2023
Austria,0.718238,0.92484,0.7766,2023,2023
Bangladesh,30.745823,106.309484,0.2892,2023,2023
Belarus,0.795638,3.00735,0.2646,2023,2023
Belgium,0.753203,0.92484,0.8144,2023,2023
Bosnia and Herzegovina,0.736469,1.809203,0.4071,2023,2023
Brazil,2.490199,4.99438,0.4986,2023,2023
Bulgaria,0.381083,1.808967,0.2107,2023,2023
Canada,1.227161,1.349909,0.9091,2023,2023
Chile,472.397681,840.066527,0.5623,2023,2023
China,3.647564,7.083998,0.5149,2023,2023
Colombia,1520.222239,4325.955,0.3514,2023,2023
Costa Rica,339.925768,544.050776,0.6248,2023,2023
Croatia,0.482557,0.92484,0.5218,2023,2023
Cyprus,0.593288,0.92484,0.6415,2023,2023
Czech Republic,14.187176,22.198083,0.6391,2023,2023
Denmark,6.796948,6.889703,0.9865,2023,2023
Dominican Republic,23.458804,56.1576,0.4177,2023,2023
Ecuador,0.456437,1.0,0.4564,2023,2023
Egypt,5.579513,30.626414,0.1822,2023,2023
Estonia,0.642819,0.92484,0.6951,2023,2023
Finland,0.797354,0.92484,0.8622,2023,2023
France,0.719442,0.92484,0.7779,2023,2023
Georgia,1.094798,2.627958,0.4166,2023,2023
Germany,0.702414,0.92484,0.7595,2023,2023
Greece,0.552885,0.92484,0.5978,2023,2023
Hong Kong (S.A.R.),5.909357,7.829583,0.7547,2023,2023
Hungary,182.532916,353.088333,0.517,2023,2023
India,19.517092,82.599276,0.2363,2023,2023
Indonesia,5143.354192,15236.884662,0.3376,2023,2023
"Iran, Islamic Republic of...",88593.212422,42000.0,2.1094,2023,2023
Ireland,0.886291,0.92484,0.9583,2023,2023
Israel,3.561296,3.667375,0.9711,2023,2023
Italy,0.631546,0.92484,0.6829,2023,2023
Japan,99.191165,140.4911,0.706,2023,2023
Kazakhstan,166.782453,456.165,0.3656,2023,2023
Kenya,43.737352,139.846384,0.3128,2023,2023
Latvia,0.532479,0.92484,0.5758,2023,2023
Lithuania,0.534146,0.92484,0.5776,2023,2023
Luxembourg,0.849427,0.92484,0.9185,2023,2023
Malaysia,1.465101,4.560623,0.3213,2023,2023
Mexico,10.501206,17.758717,0.5913,2023,2023
Morocco,4.116691,10.131426,0.4063,2023,2023
Nepal,34.700739,132.11546,0.2627,2023,2023
Netherlands,0.744821,0.92484,0.8054,2023,2023
New Zealand,1.483022,1.628433,0.9107,2023,2023
Nigeria,205.170462,645.194068,0.318,2023,2023
Norway,9.379813,10.563333,0.888,2023,2023
Pakistan,59.284902,280.356112,0.2115,2023,2023
Peru,1.967177,3.743826,0.5254,2023,2023
Philippines,20.690632,55.630363,0.3719,2023,2023
Poland,1.994416,4.203667,0.4744,2023,2023
Portugal,0.555035,0.92484,0.6001,2023,2023
Republic of Korea,883.112711,1305.6625,0.6764,2023,2023
Romania,1.968836,4.574292,0.4304,2023,2023
Russian Federation,27.580316,85.162008,0.3239,2023,2023
Serbia,49.229204,108.402692,0.4541,2023,2023
Singapore,1.047729,1.342767,0.7803,2023,2023
Slovakia,0.541108,0.92484,0.5851,2023,2023
Slovenia,0.576883,0.92484,0.6238,2023,2023
South Africa,7.597736,18.450244,0.4118,2023,2023
South Korea,883.112711,1305.6625,0.6764,2023,2023
Spain,0.581533,0.92484,0.6288,2023,2023
Sri Lanka,90.458226,327.506533,0.2762,2023,2023
Sweden,8.515827,10.610161,0.8026,2023,2023
Switzerland,1.160727,0.89849,1.2919,2023,2023
Thailand,11.184169,34.802189,0.3214,2023,2023
Turkey,7.696062,23.738566,0.3242,2023,2023
Ukraine,10.448229,36.573808,0.2857,2023,2023
United Arab Emirates,2.595536,3.6725,0.7067,2023,2023
United Kingdom of Great Britain and Northern Ireland,0.673649,0.804539,0.8373,2023,2023
United States of America,1.0,1.0,1.0,2023,2023
Uruguay,28.767403,38.823917,0.741,2023,2023
Viet Nam,7114.304392,23787.319167,0.2991,2023,2023
