country_survey,country_worldbank,income_group,wb_region,source
Afghanistan,Afghanistan,Low income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Albania,Albania,Upper middle income,Europe & Central Asia,Banco Mundial
Algeria,Algeria,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Andorra,Andorra,High income,Europe & Central Asia,Banco Mundial
Angola,Angola,Lower middle income,Sub-Saharan Africa,Banco Mundial
Antigua and Barbuda,Antigua and Barbuda,High income,Latin America & Caribbean,Banco Mundial
Argentina,Argentina,Upper middle income,Latin America & Caribbean,Banco Mundial
Armenia,Armenia,Upper middle income,Europe & Central Asia,Banco Mundial
Australia,Australia,High income,East Asia & Pacific,Banco Mundial
Austria,Austria,High income,Europe & Central Asia,Banco Mundial
Azerbaijan,Azerbaijan,Upper middle income,Europe & Central Asia,Banco Mundial
Bahamas,"Bahamas, The",High income,Latin America & Caribbean,Banco Mundial
Bahrain,Bahrain,High income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Bangladesh,Bangladesh,Lower middle income,South Asia,Banco Mundial
Barbados,Barbados,High income,Latin America & Caribbean,Banco Mundial
Belarus,Belarus,Upper middle income,Europe & Central Asia,Banco Mundial
Belgium,Belgium,High income,Europe & Central Asia,Banco Mundial
Belize,Belize,Upper middle income,Latin America & Caribbean,Banco Mundial
Benin,Benin,Lower middle income,Sub-Saharan Africa,Banco Mundial
Bhutan,Bhutan,Lower middle income,South Asia,Banco Mundial
Bolivia,Bolivia,Lower middle income,Latin America & Caribbean,Banco Mundial
Bosnia and Herzegovina,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,Banco Mundial
Botswana,Botswana,Upper middle income,Sub-Saharan Africa,Banco Mundial
Brazil,Brazil,Upper middle income,Latin America & Caribbean,Banco Mundial
Brunei Darussalam,Brunei Darussalam,High income,East Asia & Pacific,Banco Mundial
Bulgaria,Bulgaria,High income,Europe & Central Asia,Banco Mundial
Burkina Faso,Burkina Faso,Low income,Sub-Saharan Africa,Banco Mundial
Burundi,Burundi,Low income,Sub-Saharan Africa,Banco Mundial
Cambodia,Cambodia,Lower middle income,East Asia & Pacific,Banco Mundial
Cameroon,Cameroon,Lower middle income,Sub-Saharan Africa,Banco Mundial
Canada,Canada,High income,North America,Banco Mundial
Cape Verde,Cabo Verde,Upper middle income,Sub-Saharan Africa,Banco Mundial
Central African Republic,Central African Republic,Low income,Sub-Saharan Africa,Banco Mundial
Chad,Chad,Low income,Sub-Saharan Africa,Banco Mundial
Chile,Chile,High income,Latin America & Caribbean,Banco Mundial
China,China,Upper middle income,East Asia & Pacific,Banco Mundial
Colombia,Colombia,Upper middle income,Latin America & Caribbean,Banco Mundial
"Congo, Republic of the...","Congo, Rep.",Lower middle income,Sub-Saharan Africa,Banco Mundial
Costa Rica,Costa Rica,High income,Latin America & Caribbean,Banco Mundial
Croatia,Croatia,High income,Europe & Central Asia,Banco Mundial
Cuba,Cuba,Upper middle income,Latin America & Caribbean,Banco Mundial
Cyprus,Cyprus,High income,Europe & Central Asia,Banco Mundial
Czech Republic,Czechia,High income,Europe & Central Asia,Banco Mundial
Côte d'Ivoire,Cote d'Ivoire,Lower middle income,Sub-Saharan Africa,Banco Mundial
Democratic People's Republic of Korea,"Korea, Dem. People's Rep.",Low income,East Asia & Pacific,Banco Mundial
Democratic Republic of the Congo,"Congo, Dem. Rep.",Low income,Sub-Saharan Africa,Banco Mundial
Denmark,Denmark,High income,Europe & Central Asia,Banco Mundial
Djibouti,Djibouti,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Dominica,Dominica,Upper middle income,Latin America & Caribbean,Banco Mundial
Dominican Republic,Dominican Republic,Upper middle income,Latin America & Caribbean,Banco Mundial
Ecuador,Ecuador,Upper middle income,Latin America & Caribbean,Banco Mundial
Egypt,"Egypt, Arab Rep.",Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
El Salvador,El Salvador,Upper middle income,Latin America & Caribbean,Banco Mundial
Estonia,Estonia,High income,Europe & Central Asia,Banco Mundial
Ethiopia,Ethiopia,Low income,Sub-Saharan Africa,Banco Mundial
Fiji,Fiji,Upper middle income,East Asia & Pacific,Banco Mundial
Finland,Finland,High income,Europe & Central Asia,Banco Mundial
France,France,High income,Europe & Central Asia,Banco Mundial
Gabon,Gabon,Upper middle income,Sub-Saharan Africa,Banco Mundial
Gambia,"Gambia, The",Low income,Sub-Saharan Africa,Banco Mundial
Georgia,Georgia,Upper middle income,Europe & Central Asia,Banco Mundial
Germany,Germany,High income,Europe & Central Asia,Banco Mundial
Ghana,Ghana,Lower middle income,Sub-Saharan Africa,Banco Mundial
Greece,Greece,High income,Europe & Central Asia,Banco Mundial
Grenada,Grenada,Upper middle income,Latin America & Caribbean,Banco Mundial
Guatemala,Guatemala,Upper middle income,Latin America & Caribbean,Banco Mundial
Guinea,Guinea,Lower middle income,Sub-Saharan Africa,Banco Mundial
Guinea-Bissau,Guinea-Bissau,Low income,Sub-Saharan Africa,Banco Mundial
Guyana,Guyana,High income,Latin America & Caribbean,Banco Mundial
Haiti,Haiti,Lower middle income,Latin America & Caribbean,Banco Mundial
Honduras,Honduras,Lower middle income,Latin America & Caribbean,Banco Mundial
Hong Kong (S.A.R.),"Hong Kong SAR, China",High income,East Asia & Pacific,Banco Mundial
Hungary,Hungary,High income,Europe & Central Asia,Banco Mundial
Iceland,Iceland,High income,Europe & Central Asia,Banco Mundial
India,India,Lower middle income,South Asia,Banco Mundial
Indonesia,Indonesia,Upper middle income,East Asia & Pacific,Banco Mundial
"Iran, Islamic Republic of...","Iran, Islamic Rep.",Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Iraq,Iraq,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Ireland,Ireland,High income,Europe & Central Asia,Banco Mundial
Isle of Man,Isle of Man,High income,Europe & Central Asia,Banco Mundial
Israel,Israel,High income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Italy,Italy,High income,Europe & Central Asia,Banco Mundial
Jamaica,Jamaica,Upper middle income,Latin America & Caribbean,Banco Mundial
Japan,Japan,High income,East Asia & Pacific,Banco Mundial
Jordan,Jordan,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Kazakhstan,Kazakhstan,Upper middle income,Europe & Central Asia,Banco Mundial
Kenya,Kenya,Lower middle income,Sub-Saharan Africa,Banco Mundial
Kosovo,Kosovo,Upper middle income,Europe & Central Asia,Banco Mundial
Kuwait,Kuwait,High income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Kyrgyzstan,Kyrgyz Republic,Lower middle income,Europe & Central Asia,Banco Mundial
Lao People's Democratic Republic,Lao PDR,Lower middle income,East Asia & Pacific,Banco Mundial
Latvia,Latvia,High income,Europe & Central Asia,Banco Mundial
Lebanon,Lebanon,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Lesotho,Lesotho,Lower middle income,Sub-Saharan Africa,Banco Mundial
Liberia,Liberia,Low income,Sub-Saharan Africa,Banco Mundial
Libyan Arab Jamahiriya,Libya,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Liechtenstein,Liechtenstein,High income,Europe & Central Asia,Banco Mundial
Lithuania,Lithuania,High income,Europe & Central Asia,Banco Mundial
Luxembourg,Luxembourg,High income,Europe & Central Asia,Banco Mundial
Madagascar,Madagascar,Low income,Sub-Saharan Africa,Banco Mundial
Malawi,Malawi,Low income,Sub-Saharan Africa,Banco Mundial
Malaysia,Malaysia,Upper middle income,East Asia & Pacific,Banco Mundial
Maldives,Maldives,Upper middle income,South Asia,Banco Mundial
Mali,Mali,Low income,Sub-Saharan Africa,Banco Mundial
Malta,Malta,High income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Marshall Islands,Marshall Islands,Upper middle income,East Asia & Pacific,Banco Mundial
Mauritania,Mauritania,Lower middle income,Sub-Saharan Africa,Banco Mundial
Mauritius,Mauritius,Upper middle income,Sub-Saharan Africa,Banco Mundial
Mexico,Mexico,Upper middle income,Latin America & Caribbean,Banco Mundial
"Micronesia, Federated States of...","Micronesia, Fed. Sts.",Upper middle income,East Asia & Pacific,Banco Mundial
Moldova,Moldova,Upper middle income,Europe & Central Asia,Banco Mundial
Monaco,Monaco,High income,Europe & Central Asia,Banco Mundial
Mongolia,Mongolia,Upper middle income,East Asia & Pacific,Banco Mundial
Montenegro,Montenegro,Upper middle income,Europe & Central Asia,Banco Mundial
Morocco,Morocco,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Mozambique,Mozambique,Low income,Sub-Saharan Africa,Banco Mundial
Myanmar,Myanmar,Lower middle income,East Asia & Pacific,Banco Mundial
Namibia,Namibia,Lower middle income,Sub-Saharan Africa,Banco Mundial
Nepal,Nepal,Lower middle income,South Asia,Banco Mundial
Netherlands,Netherlands,High income,Europe & Central Asia,Banco Mundial
New Zealand,New Zealand,High income,East Asia & Pacific,Banco Mundial
Nicaragua,Nicaragua,Lower middle income,Latin America & Caribbean,Banco Mundial
Niger,Niger,Low income,Sub-Saharan Africa,Banco Mundial
Nigeria,Nigeria,Lower middle income,Sub-Saharan Africa,Banco Mundial
North Korea,"Korea, Dem. People's Rep.",Low income,East Asia & Pacific,Banco Mundial
Norway,Norway,High income,Europe & Central Asia,Banco Mundial
Oman,Oman,High income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Pakistan,Pakistan,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Palau,Palau,High income,East Asia & Pacific,Banco Mundial
Palestine,West Bank and Gaza,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Panama,Panama,High income,Latin America & Caribbean,Banco Mundial
Papua New Guinea,Papua New Guinea,Lower middle income,East Asia & Pacific,Banco Mundial
Paraguay,Paraguay,Upper middle income,Latin America & Caribbean,Banco Mundial
Peru,Peru,Upper middle income,Latin America & Caribbean,Banco Mundial
Philippines,Philippines,Upper middle income,East Asia & Pacific,Banco Mundial
Poland,Poland,High income,Europe & Central Asia,Banco Mundial
Portugal,Portugal,High income,Europe & Central Asia,Banco Mundial
Qatar,Qatar,High income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Republic of Korea,"Korea, Rep.",High income,East Asia & Pacific,Banco Mundial
Republic of Moldova,Moldova,Upper middle income,Europe & Central Asia,Banco Mundial
Republic of North Macedonia,North Macedonia,Upper middle income,Europe & Central Asia,Banco Mundial
Romania,Romania,High income,Europe & Central Asia,Banco Mundial
Russian Federation,Russian Federation,High income,Europe & Central Asia,Banco Mundial
Rwanda,Rwanda,Low income,Sub-Saharan Africa,Banco Mundial
Saint Kitts and Nevis,St. Kitts and Nevis,High income,Latin America & Caribbean,Banco Mundial
Saint Lucia,St. Lucia,Upper middle income,Latin America & Caribbean,Banco Mundial
Saint Vincent and the Grenadines,St. Vincent and the Grenadines,Upper middle income,Latin America & Caribbean,Banco Mundial
Samoa,Samoa,Upper middle income,East Asia & Pacific,Banco Mundial
San Marino,San Marino,High income,Europe & Central Asia,Banco Mundial
Saudi Arabia,Saudi Arabia,High income,"Middle East, North Africa, Afghanistan & Pakistan",Banco Mundial
Senegal,Senegal,Lower middle income,Sub-Saharan Africa,Banco Mundial
Serbia,Serbia,Upper middle income,Europe & Central Asia,Banco Mundial
Seychelles,Seychelles,High income,Sub-Saharan Africa,Banco Mundial
Sierra Leone,Sierra Leone,Low income,Sub-Saharan Africa,Banco Mundial
Singapore,Singapore,High income,East Asia & Pacific,Banco Mundial
Slovakia,Slovak Republic,High income,Europe & Central Asia,Banco Mundial
Slovenia,Slovenia,High income,Europe & Central Asia,Banco Mundial
Solomon Islands,Solomon Islands,Lower middle income,East Asia & Pacific,Banco Mundial
Somalia,"Somalia, Fed. Rep.",Low income,Sub-Saharan Africa,Banco Mundial
South Africa,South Africa,Upper middle income,Sub-Saharan Africa,Banco Mundial
South Korea,"Korea, Rep.",High income,East Asia & Pacific,Banco Mundial
Spain,Spain,High income,Europe & Central Asia,Banco Mundial
Sri Lanka,Sri Lanka,Upper middle income,South Asia,Banco Mundial
Sudan,Sudan,Low income,Sub-Saharan Africa,Banco Mundial
Suriname,Suriname,Upper middle income,Latin America & Caribbean,Banco Mundial
Swaziland,Eswatini,Lower middle income,Sub-Saharan Africa,Banco Mundial
Sweden,Sweden,High income,Europe & Central Asia,Banco Mundial
