Feature,Importance
country_target,0.6670872333131282
is_senior_plus,0.13311233072894615
experience_num,0.12664599050043326
experience_level_Entry,0.019114664130252423
experience_level_Mid,0.017388058896872408
experience_level_Senior,0.009559922894635774
experience_level_Lead,0.0032976833533167773
productivity_score,0.0026582608959399476
experience_per_age,0.0023217071206757993
region_Asia,0.0018276624168672838
age,0.0013523143881169302
region_Europe,0.0012894013579270113
primary_skill_target,0.0012644207983699715
secondary_skill_target,0.0012204734645890154
company_rating,0.0011460508630316538
years_x_edu,0.0011459804631872848
region_North America,0.001085629429211564
job_title_target,0.0010737247777110864
job_satisfaction_score,0.0010384172629804118
exp_x_years,0.0008475752073622876
hours_deviation,0.0007739304568336482
work_hours_per_week,0.0006985591221210136
years_experience,0.0005180307773545831
exp_x_edu,0.00038550293373230406
company_size_num,0.00024490169569329676
gender_Other,0.00020069761487344443
company_size_SME,0.00018918505091885843
same_skills,0.0001649588599881871
remote_num,0.00015817782789602982
gender_Prefer not to say,0.00014854415988467843
education_num,0.00014799424434943398
remote_type_Hybrid,0.00014431085519807135
company_size_Mid-size,0.00014306150139731214
employment_type_Contract,0.00014106325997179526
education_level_Bachelor,0.00013490560336479614
gender_Female,0.00012883449569317583
education_level_Diploma,0.00012690986878373183
gender_Male,0.00012476875445748998
region_Oceania,0.00011927435001045017
is_high_demand,0.00010606844466413921
employment_num,9.961358350555984e-05
education_level_Master,8.834872673973462e-05
remote_type_Remote,7.788960312940373e-05
company_size_Startup,7.693852815685499e-05
company_size_Enterprise,7.088974451672323e-05
education_level_PhD,6.907467034799072e-05
is_full_time,5.979016542311265e-05
employment_type_Freelance,5.706914680676797e-05
remote_type_Onsite,5.394939169467548e-05
employment_type_Full-time,4.355931161123775e-05
education_level_Self-taught,2.569498732621194e-05
