familia,metrica,config_a,config_b,n_pares,media_a,media_b,diferencia,estadistico,p_valor,umbral_holm,significativo
HE1_codificacion,R2,CatBoost/target,CatBoost/onehot,20,0.7857,0.783,0.0027,0.0,1.91e-06,0.01,True
HE1_codificacion,R2,Ridge/target,Ridge/onehot,20,0.7506,0.7544,-0.0039,0.0,1.91e-06,0.0125,True
HE1_codificacion,R2,XGBoost/target,XGBoost/onehot,20,0.7863,0.7822,0.004,0.0,1.91e-06,0.016667,True
HE1_codificacion,R2,LightGBM/target,LightGBM/onehot,20,0.7845,0.7854,-0.0008,60.0,0.09730721,0.025,False
HE1_codificacion,R2,HistGradientBoosting/target,HistGradientBoosting/onehot,20,0.7818,0.7815,0.0004,80.0,0.3682766,0.05,False
HG_vs_baseline,R2,CatBoost/onehot,Baseline_media/onehot,20,0.783,-0.0001,0.7832,0.0,1.91e-06,0.0025,True
HG_vs_baseline,R2,CatBoost/onehot,Baseline_mediana/onehot,20,0.783,-0.0075,0.7906,0.0,1.91e-06,0.002632,True
HG_vs_baseline,R2,HistGradientBoosting/onehot,Baseline_media/onehot,20,0.7815,-0.0001,0.7816,0.0,1.91e-06,0.002778,True
HG_vs_baseline,R2,HistGradientBoosting/onehot,Baseline_mediana/onehot,20,0.7815,-0.0075,0.789,0.0,1.91e-06,0.002941,True
HG_vs_baseline,R2,LightGBM/onehot,Baseline_media/onehot,20,0.7854,-0.0001,0.7855,0.0,1.91e-06,0.003125,True
HG_vs_baseline,R2,LightGBM/onehot,Baseline_mediana/onehot,20,0.7854,-0.0075,0.7929,0.0,1.91e-06,0.003333,True
HG_vs_baseline,R2,Ridge/onehot,Baseline_media/onehot,20,0.7544,-0.0001,0.7546,0.0,1.91e-06,0.003571,True
HG_vs_baseline,R2,Ridge/onehot,Baseline_mediana/onehot,20,0.7544,-0.0075,0.762,0.0,1.91e-06,0.003846,True
HG_vs_baseline,R2,XGBoost/onehot,Baseline_media/onehot,20,0.7822,-0.0001,0.7824,0.0,1.91e-06,0.004167,True
HG_vs_baseline,R2,XGBoost/onehot,Baseline_mediana/onehot,20,0.7822,-0.0075,0.7898,0.0,1.91e-06,0.004545,True
HG_vs_baseline,R2,CatBoost/target,Baseline_media/target,20,0.7857,-0.0001,0.7859,0.0,1.91e-06,0.005,True
HG_vs_baseline,R2,CatBoost/target,Baseline_mediana/target,20,0.7857,-0.0075,0.7933,0.0,1.91e-06,0.005556,True
