familia,metrica,config_a,config_b,n_pares,media_a,media_b,diferencia,estadistico,p_valor,umbral_holm,significativo
HE1_codificacion,R2,CatBoost/target,CatBoost/onehot,20,0.7761,0.7684,0.0077,1.0,3.81e-06,0.01,True
HE1_codificacion,R2,LightGBM/target,LightGBM/onehot,20,0.7719,0.7641,0.0078,1.0,3.81e-06,0.0125,True
HE1_codificacion,R2,XGBoost/target,XGBoost/onehot,20,0.7751,0.7657,0.0094,1.0,3.81e-06,0.016667,True
HE1_codificacion,R2,HistGradientBoosting/target,HistGradientBoosting/onehot,20,0.7709,0.7635,0.0074,3.0,9.54e-06,0.025,True
HE1_codificacion,R2,Ridge/target,Ridge/onehot,20,0.7451,0.7442,0.0009,76.0,0.2942524,0.05,False
HG_vs_baseline,R2,CatBoost/onehot,Baseline_media/onehot,20,0.7684,-0.0002,0.7686,0.0,1.91e-06,0.0025,True
HG_vs_baseline,R2,CatBoost/onehot,Baseline_mediana/onehot,20,0.7684,-0.0126,0.781,0.0,1.91e-06,0.002632,True
HG_vs_baseline,R2,HistGradientBoosting/onehot,Baseline_media/onehot,20,0.7635,-0.0002,0.7637,0.0,1.91e-06,0.002778,True
HG_vs_baseline,R2,HistGradientBoosting/onehot,Baseline_mediana/onehot,20,0.7635,-0.0126,0.776,0.0,1.91e-06,0.002941,True
HG_vs_baseline,R2,LightGBM/onehot,Baseline_media/onehot,20,0.7641,-0.0002,0.7643,0.0,1.91e-06,0.003125,True
HG_vs_baseline,R2,LightGBM/onehot,Baseline_mediana/onehot,20,0.7641,-0.0126,0.7767,0.0,1.91e-06,0.003333,True
HG_vs_baseline,R2,Ridge/onehot,Baseline_media/onehot,20,0.7442,-0.0002,0.7444,0.0,1.91e-06,0.003571,True
HG_vs_baseline,R2,Ridge/onehot,Baseline_mediana/onehot,20,0.7442,-0.0126,0.7568,0.0,1.91e-06,0.003846,True
HG_vs_baseline,R2,XGBoost/onehot,Baseline_media/onehot,20,0.7657,-0.0002,0.7659,0.0,1.91e-06,0.004167,True
HG_vs_baseline,R2,XGBoost/onehot,Baseline_mediana/onehot,20,0.7657,-0.0126,0.7783,0.0,1.91e-06,0.004545,True
HG_vs_baseline,R2,CatBoost/target,Baseline_media/target,20,0.7761,-0.0002,0.7763,0.0,1.91e-06,0.005,True
HG_vs_baseline,R2,CatBoost/target,Baseline_mediana/target,20,0.7761,-0.0126,0.7887,0.0,1.91e-06,0.005556,True
HG_vs_baseline,R2,HistGradientBoosting/target,Baseline_media/target,20,0.7709,-0.0002,0.7711,0.0,1.91e-06,0.00625,True
HG_vs_baseline,R2,HistGradientBoosting/target,Baseline_mediana/target,20,0.7709,-0.0126,0.7835,0.0,1.91e-06,0.007143,True
HG_vs_baseline,R2,LightGBM/target,Baseline_media/target,20,0.7719,-0.0002,0.7721,0.0,1.91e-06,0.008333,True
HG_vs_baseline,R2,LightGBM/target,Baseline_mediana/target,20,0.7719,-0.0126,0.7845,0.0,1.91e-06,0.01,True
HG_vs_baseline,R2,Ridge/target,Baseline_media/target,20,0.7451,-0.0002,0.7453,0.0,1.91e-06,0.0125,True
HG_vs_baseline,R2,Ridge/target,Baseline_mediana/target,20,0.7451,-0.0126,0.7576,0.0,1.91e-06,0.016667,True
HG_vs_baseline,R2,XGBoost/target,Baseline_media/target,20,0.7751,-0.0002,0.7753,0.0,1.91e-06,0.025,True
HG_vs_baseline,R2,XGBoost/target,Baseline_mediana/target,20,0.7751,-0.0126,0.7877,0.0,1.91e-06,0.05,True
lineal_vs_ensamblado,R2,Ridge/onehot,CatBoost/onehot,20,0.7442,0.7684,-0.0242,0.0,1.91e-06,0.00625,True
lineal_vs_ensamblado,R2,Ridge/onehot,HistGradientBoosting/onehot,20,0.7442,0.7635,-0.0193,0.0,1.91e-06,0.007143,True
lineal_vs_ensamblado,R2,Ridge/onehot,LightGBM/onehot,20,0.7442,0.7641,-0.0199,0.0,1.91e-06,0.008333,True
lineal_vs_ensamblado,R2,Ridge/onehot,XGBoost/onehot,20,0.7442,0.7657,-0.0215,0.0,1.91e-06,0.01,True
lineal_vs_ensamblado,R2,Ridge/target,CatBoost/target,20,0.7451,0.7761,-0.0311,0.0,1.91e-06,0.0125,True
lineal_vs_ensamblado,R2,Ridge/target,HistGradientBoosting/target,20,0.7451,0.7709,-0.0258,0.0,1.91e-06,0.016667,True
lineal_vs_ensamblado,R2,Ridge/target,LightGBM/target,20,0.7451,0.7719,-0.0269,0.0,1.91e-06,0.025,True
lineal_vs_ensamblado,R2,Ridge/target,XGBoost/target,20,0.7451,0.7751,-0.03,0.0,1.91e-06,0.05,True
HE1_codificacion,MAE_log,HistGradientBoosting/target,HistGradientBoosting/onehot,20,0.2863,0.2903,-0.004,0.0,1.91e-06,0.01,True
HE1_codificacion,MAE_log,LightGBM/target,LightGBM/onehot,20,0.285,0.2893,-0.0044,0.0,1.91e-06,0.0125,True
HE1_codificacion,MAE_log,XGBoost/target,XGBoost/onehot,20,0.2823,0.2871,-0.0048,0.0,1.91e-06,0.016667,True
HE1_codificacion,MAE_log,CatBoost/target,CatBoost/onehot,20,0.2816,0.2856,-0.0039,1.0,3.81e-06,0.025,True
HE1_codificacion,MAE_log,Ridge/target,Ridge/onehot,20,0.3082,0.3078,0.0005,77.0,0.31179428,0.05,False
