variable,categoria,n,mediana_usd,media_usd,diferencia_pct
AIAgents,"Yes, I use AI agents at work monthly or infrequently",1117,92000.0,109939.94538943599,0.0
AIAgents,"Yes, I use AI agents at work weekly",1293,90491.0,111304.66976024749,-1.6
AIAgents,"No, and I don't plan to",5522,83531.0,99119.87739949294,-9.2
AIAgents,"No, I use AI exclusively in copilot/autocomplete mode",2166,83023.0,97814.56001846722,-9.8
AIAgents,"No, but I plan to",2463,83000.0,101214.56516443362,-9.8
AIAgents,"Yes, I use AI agents at work daily",1969,81210.0,102041.64906043677,-11.7
AISelect,"No, but I plan to soon",643,89331.0,103050.2099533437,0.0
AISelect,"No, and I don't plan to",2172,87550.0,105072.03084714549,-2.0
AISelect,"Yes, I use AI tools monthly or infrequently",1976,84845.5,103526.1052631579,-5.0
AISelect,"Yes, I use AI tools weekly",2758,82240.5,102375.86802030457,-7.9
AISelect,"Yes, I use AI tools daily",7445,81685.0,98818.59341840161,-8.6
AIThreat,No,10141,84691.0,101660.58307859185,0.0
AIThreat,Yes,2034,81870.0,103709.71878072764,-3.3
AIThreat,I'm not sure,3155,81210.0,98026.35911251981,-4.1
LearnCodeAI,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my ",6221,89713.0,108582.78894068478,0.0
LearnCodeAI,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobb",4402,81262.0,97859.91640163562,-9.4
LearnCodeAI,"No, I learned something that was not related to AI or AI enablement for my perso",1547,80412.0,93083.52230122818,-10.4
LearnCodeAI,"No, I didn't spend time learning in the past year",1448,80000.0,95473.63328729282,-10.8
LearnCodeAI,"No, I learned something that was not related to AI or AI enablement as required ",1709,80000.0,94836.00117027502,-10.8
