variable,shap_medio_abs,ic_inferior,ic_superior,importancia_impureza
Country,0.4312348961830139,0.41887861490249634,0.4442152678966522,0.13528986275196075
WorkExp_num,0.12893326580524445,0.12566110491752625,0.13249829411506653,0.02468770183622837
YearsCode_num,0.0609239861369133,0.059562258422374725,0.06235988065600395,0.007501326501369476
income_group_High income,0.0384550616145134,0.03718288242816925,0.039792750030756,0.10853242874145508
OrgSize_Less than 20 employees,0.037449825555086136,0.03614109382033348,0.03876686468720436,0.012024637311697006
DevType,0.036286287009716034,0.03519219532608986,0.037443965673446655,0.007660423405468464
"OrgSize_10,000 or more employees",0.032735228538513184,0.03166162222623825,0.03388841077685356,0.00996800884604454
language__php,0.02619142271578312,0.025208579376339912,0.0270987655967474,0.012761213816702366
RemoteWork_Remote,0.024749966338276863,0.02429039217531681,0.02523060142993927,0.006077049300074577
platform__homebrew,0.020073577761650085,0.01946757733821869,0.020694341510534286,0.010899979621171951
Age_18-24 years old,0.018250873312354088,0.017223594710230827,0.0192588958889246,0.026174116879701614
OrgSize_20 to 99 employees,0.017642324790358543,0.017202945426106453,0.018114406615495682,0.004524892661720514
platform__amazon_web_services_(aws),0.0164630264043808,0.01619614288210869,0.01670198328793049,0.011133810505270958
language__html_css,0.015855293720960617,0.015620097517967224,0.016081033274531364,0.005654077045619488
RemoteWork_In-person,0.014253178611397743,0.01356123760342598,0.01497145090252161,0.01053586881607771
"LearnCodeAI_Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",0.014190866611897945,0.01398380659520626,0.014415635727345943,0.005821139086037874
database__microsoft_sql_server,0.013734636828303337,0.013405153527855873,0.014089486561715603,0.007324200589209795
"EdLevel_Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0.013645277358591557,0.013320960104465485,0.013950728811323643,0.003671481506898999
language__typescript,0.012395234778523445,0.012216460891067982,0.012571988627314568,0.0029777309391647577
"OrgSize_1,000 to 4,999 employees",0.01197997760027647,0.011461668647825718,0.012507599778473377,0.004393515642732382
language__go,0.011761777102947235,0.011371035128831863,0.012158691883087158,0.006482025608420372
Industry_Fintech,0.011562948115170002,0.010751658119261265,0.012409579008817673,0.006465524435043335
database__mariadb,0.011496498249471188,0.011077995412051678,0.011899827048182487,0.006526547484099865
platform__kubernetes,0.01132958009839058,0.011038251221179962,0.011610736139118671,0.009765543974936008
"AIAgents_No, and I don't plan to",0.011202393099665642,0.011000458151102066,0.011400885879993439,0.0045722005888819695
Industry_Software Development,0.011198247782886028,0.010814882814884186,0.011632309295237064,0.006368686910718679
language__c#,0.011008460074663162,0.01077648252248764,0.011267954483628273,0.0055034528486430645
database__mysql,0.010814404115080833,0.010557222180068493,0.011068463325500488,0.004435522016137838
"AISelect_Yes, I use AI tools daily",0.010469121858477592,0.010322113521397114,0.010608197189867496,0.0033215999137610197
platform__terraform,0.010084313340485096,0.009714994579553604,0.010442385450005531,0.009637422859668732
language__powershell,0.00946059450507164,,,0.004369575995951891
EdLevel_Some college/university study without earning a degree,0.009300611913204193,,,0.004030380863696337
language__n,0.008750153705477715,,,0.0027394609060138464
language__rust,0.008494549430906773,,,0.003944263327866793
platform__npm,0.008436022326350212,,,0.0021800596732646227
"OrgSize_5,000 to 9,999 employees",0.008319761604070663,,,0.004269124940037727
ICorPM_People manager,0.0079581830650568,,,0.004660883452743292
language__sql,0.007451879326254129,,,0.0031520987395197153
platform__prometheus,0.0073723215609788895,,,0.005478804465383291
platform__datadog,0.0073027885518968105,,,0.008879520930349827
platform__n,0.00722490856423974,,,0.003180694067850709
database__mongodb,0.006781277246773243,,,0.0030814658384770155
database__redis,0.00677082221955061,,,0.0030870854388922453
Industry_Higher Education,0.006743045058101416,,,0.00906311720609665
platform__google_cloud,0.006415646057575941,,,0.004264498129487038
database__elasticsearch,0.006201896350830793,,,0.006258542649447918
language__javascript,0.00564603740349412,,,0.0033455367665737867
database__bigquery,0.005360511131584644,,,0.00457434868440032
language__c++,0.00492325471714139,,,0.0031034843996167183
language__visual_basic_(.net),0.004917599726468325,,,0.0057367319241166115
database__oracle,0.0048312717117369175,,,0.003643475007265806
