variable,shap_medio_abs,ic_inferior,ic_superior,importancia_impureza
Country,0.49247440695762634,0.4779074788093567,0.5068948268890381,0.19060784578323364
YearsCodePro_num,0.15522582828998566,0.15080700814723969,0.15950870513916016,0.03427855297923088
DevType,0.07325077056884766,0.07077497988939285,0.07564838975667953,0.011036662384867668
income_group_High income,0.061368830502033234,0.0593586266040802,0.06349620223045349,0.23146720230579376
language__php,0.03338945284485817,0.03216416388750076,0.034589312970638275,0.018074918538331985
RemoteWork_Fully remote,0.03055550716817379,0.02998952753841877,0.0311629269272089,0.012150568887591362
YearsCode_num,0.027944210916757584,0.0270378477871418,0.028811080381274223,0.006795442197471857
language__typescript,0.027291690930724144,0.026894066482782364,0.027681563049554825,0.0065404693596065044
platform__aws,0.026834215968847275,0.026464609429240227,0.027214867994189262,0.01597709208726883
"OrgSize_10,000 or more employees",0.02608659863471985,0.024832535535097122,0.02733713760972023,0.011364791542291641
RemoteWork_Full in-person,0.0239158496260643,0.02253452129662037,0.025248803198337555,0.01864597201347351
WorkExp_num,0.023579426109790802,0.022504571825265884,0.024567754939198494,0.006894048303365707
database__redis,0.022939011454582214,0.022235097363591194,0.023652825504541397,0.008624614216387272
OrgSize_2 to 9 employees,0.022164423018693924,0.020499056205153465,0.023732269182801247,0.010811029002070427
"EdLevel_Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0.02017144113779068,0.019614193588495255,0.020716561004519463,0.006372486706823111
OrgSize_20 to 99 employees,0.017845790833234787,0.01725069433450699,0.018487554043531418,0.004931490868330002
language__html_css,0.015806684270501137,0.015500626526772976,0.016126438975334167,0.006118398159742355
database__postgresql,0.015486798249185085,0.015232388861477375,0.015759466215968132,0.005996210500597954
language__c#,0.015205256640911102,0.014857004396617413,0.015579087659716606,0.005727995187044144
OrgSize_10 to 19 employees,0.014555145055055618,0.013628757558763027,0.015556393191218376,0.0068153575994074345
database__microsoft_sql_server,0.01344100758433342,0.012965800240635872,0.013967449776828289,0.008100355975329876
platform__google_cloud,0.013065424747765064,0.012544033117592335,0.013578135520219803,0.004910426214337349
language__go,0.011917861178517342,0.011295427568256855,0.012551847845315933,0.007290054578334093
database__mysql,0.011655560694634914,0.011384118348360062,0.011938298121094704,0.006702962797135115
"OrgSize_1,000 to 4,999 employees",0.011446909978985786,0.010835573077201843,0.012117130681872368,0.005390100181102753
Age_18-24 years old,0.010862233117222786,0.010395527817308903,0.011348129250109196,0.00809693057090044
platform__n,0.008933702483773232,0.0086307218298316,0.00923425704240799,0.0039193155243992805
database__oracle,0.008083558641374111,0.007584695238620043,0.008587311021983624,0.0047372691333293915
ICorPM_People manager,0.00786164216697216,0.007376527413725853,0.00836833193898201,0.005436869338154793
database__mariadb,0.0076409075409173965,0.0073074777610599995,0.007977250963449478,0.004823125898838043
language__sql,0.006746351253241301,,,0.003604349447414279
database__n,0.006208726670593023,,,0.0033111469820141792
language__kotlin,0.0059195710346102715,,,0.004469665233045816
"OrgSize_5,000 to 9,999 employees",0.005791653413325548,,,0.003730976488441229
