modelo,r2_medio,r2_desv,parametros
Ridge,0.7495,0.0014,"{""alpha"": 0.1767}"
Ridge,0.7431,0.0014,"{""alpha"": 506.15769}"
Ridge,0.7497,0.0014,"{""alpha"": 24.65833}"
Ridge,0.7495,0.0014,"{""alpha"": 3.90797}"
Ridge,0.7495,0.0014,"{""alpha"": 0.00863}"
Ridge,0.7495,0.0014,"{""alpha"": 0.00863}"
Ridge,0.7495,0.0014,"{""alpha"": 0.00223}"
Ridge,0.7484,0.0014,"{""alpha"": 157.4189}"
Ridge,0.7495,0.0014,"{""alpha"": 4.04287}"
Ridge,0.7497,0.0014,"{""alpha"": 17.71885}"
Ridge,0.7495,0.0014,"{""alpha"": 0.00133}"
Ridge,0.7405,0.0014,"{""alpha"": 659.87111}"
Ridge,0.7491,0.0014,"{""alpha"": 98.777}"
Ridge,0.7495,0.0014,"{""alpha"": 0.01879}"
Ridge,0.7495,0.0014,"{""alpha"": 0.01233}"
Ridge,0.7495,0.0014,"{""alpha"": 0.0126}"
Ridge,0.7495,0.0014,"{""alpha"": 0.0669}"
Ridge,0.7495,0.0014,"{""alpha"": 1.40779}"
Ridge,0.7495,0.0014,"{""alpha"": 0.39054}"
Ridge,0.7495,0.0014,"{""alpha"": 0.0559}"
Ridge,0.7496,0.0014,"{""alpha"": 4.6894}"
Ridge,0.7495,0.0014,"{""alpha"": 0.00687}"
Ridge,0.7495,0.0014,"{""alpha"": 0.05661}"
Ridge,0.7495,0.0014,"{""alpha"": 0.15782}"
Ridge,0.7495,0.0014,"{""alpha"": 0.54503}"
Ridge,0.7496,0.0014,"{""alpha"": 51.41097}"
Ridge,0.7495,0.0014,"{""alpha"": 0.01578}"
Ridge,0.7495,0.0014,"{""alpha"": 1.21733}"
Ridge,0.7495,0.0014,"{""alpha"": 3.58499}"
Ridge,0.7495,0.0014,"{""alpha"": 0.0019}"
Ridge,0.7496,0.0014,"{""alpha"": 4.41844}"
Ridge,0.7495,0.0014,"{""alpha"": 0.01055}"
Ridge,0.7495,0.0014,"{""alpha"": 0.00246}"
Ridge,0.7433,0.0014,"{""alpha"": 493.52962}"
Ridge,0.7412,0.0014,"{""alpha"": 622.0026}"
Ridge,0.7494,0.0014,"{""alpha"": 70.85722}"
Ridge,0.7495,0.0014,"{""alpha"": 0.06725}"
Ridge,0.7495,0.0014,"{""alpha"": 0.00386}"
Ridge,0.7496,0.0014,"{""alpha"": 12.74671}"
Ridge,0.7495,0.0014,"{""alpha"": 0.43744}"
XGBoost,0.7495,0.0024,"{""colsample_bytree"": 0.68727, ""learning_rate"": 0.2537, ""max_depth"": 10, ""min_child_weight"": 7, ""n_estimators"": 321, ""reg_alpha"": 0.00378, ""reg_lambda"": 0.13604, ""subsample"": 0.94647}"
XGBoost,0.7708,0.0025,"{""colsample_bytree"": 0.80056, ""learning_rate"": 0.11115, ""max_depth"": 8, ""min_child_weight"": 2, ""n_estimators"": 543, ""reg_alpha"": 1.2, ""reg_lambda"": 0.30803, ""subsample"": 0.67273}"
XGBoost,0.7857,0.0021,"{""colsample_bytree"": 0.5917, ""learning_rate"": 0.02815, ""max_depth"": 8, ""min_child_weight"": 12, ""n_estimators"": 1056, ""reg_alpha"": 0.01195, ""reg_lambda"": 2.55795, ""subsample"": 0.6558}"
XGBoost,0.7858,0.001,"{""colsample_bytree"": 0.64607, ""learning_rate"": 0.03477, ""max_depth"": 5, ""min_child_weight"": 12, ""n_estimators"": 766, ""reg_alpha"": 4.33453, ""reg_lambda"": 1.18587, ""subsample"": 0.94398}"
XGBoost,0.7859,0.0009,"{""colsample_bytree"": 0.84015, ""learning_rate"": 0.04629, ""max_depth"": 4, ""min_child_weight"": 4, ""n_estimators"": 800, ""reg_alpha"": 3.73116, ""reg_lambda"": 7.2468, ""subsample"": 0.72185}"
XGBoost,0.7705,0.0029,"{""colsample_bytree"": 0.54884, ""learning_rate"": 0.10249, ""max_depth"": 9, ""min_child_weight"": 12, ""n_estimators"": 708, ""reg_alpha"": 1.20771, ""reg_lambda"": 0.25056, ""subsample"": 0.75642}"
XGBoost,0.7694,0.0015,"{""colsample_bytree"": 0.59112, ""learning_rate"": 0.13055, ""max_depth"": 8, ""min_child_weight"": 10, ""n_estimators"": 971, ""reg_alpha"": 0.00483, ""reg_lambda"": 17.02328, ""subsample"": 0.91005}"
XGBoost,0.7577,0.0029,"{""colsample_bytree"": 0.96975, ""learning_rate"": 0.20978, ""max_depth"": 10, ""min_child_weight"": 14, ""n_estimators"": 926, ""reg_alpha"": 0.08444, ""reg_lambda"": 16.28117, ""subsample"": 0.93781}"
XGBoost,0.7795,0.0018,"{""colsample_bytree"": 0.87366, ""learning_rate"": 0.06269, ""max_depth"": 10, ""min_child_weight"": 13, ""n_estimators"": 240, ""reg_alpha"": 0.01247, ""reg_lambda"": 0.24004, ""subsample"": 0.60625}"
XGBoost,0.7818,0.0027,"{""colsample_bytree"": 0.7117, ""learning_rate"": 0.03831, ""max_depth"": 10, ""min_child_weight"": 11, ""n_estimators"": 698, ""reg_alpha"": 0.41176, ""reg_lambda"": 4.75847, ""subsample"": 0.90851}"
