Modelo,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
Ridge,0.3069379801777155,0.0016963698085395557,0.2534843373485563,0.0010604886310578523,0.8054312079351792,0.002121321505571487
LinearRegression,0.306941435093263,0.0016965642782053802,0.2534873414941548,0.0010612855422940022,0.8054268158443593,0.0021225653803332027
HistGradientBoosting,0.30732877016003146,0.0018123627519171016,0.2536447799492496,0.0010931593440095763,0.8049370133327767,0.002055993418848873
ElasticNet,0.3077834397793643,0.001829429362432788,0.25353827709648324,0.0010927221692916302,0.8043620477796074,0.001807051899329651
Lasso,0.30890640226986565,0.0018183233805673712,0.2541675429174699,0.0011102844525834384,0.8029316846397844,0.0018243632816858386
GradientBoosting,0.30911057522716534,0.0017449894638409417,0.254655811535899,0.0011218727320287066,0.8026660547949931,0.002263413143735895
RandomForest,0.3098089028804055,0.0017601590316379768,0.2553805802968516,0.0012298197688068206,0.8017740494872918,0.0022268614335707354
MLP,0.31079846112055104,0.0010117576656990964,0.25609621492982654,0.0016307091233910655,0.800492228008195,0.0029577054495849536
ExtraTrees,0.31278940944078826,0.0017205503744703832,0.2568538978472178,0.001136361810413146,0.7979441012312913,0.00199667386219288
Baseline_Mean,0.6959043741226196,0.006429703225362548,0.5256420254707337,0.004471047259596914,-4.940032958984375e-05,2.5427830477240453e-05
Baseline_Median,0.7027153611183167,0.006816128204277287,0.5194169998168945,0.004674774336625372,-0.01971273422241211,0.001460783669919136
